"period","age","industry","u_m","u_w","s_m","s_w","composition","within","total_contrib"
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Construction",5.61842812342095,5.03502396376468,0.0870487729780791,0.0148688375414851,0.384482741914954,0.0297295789596704,0.414212320874624
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Construction",6.63750188565395,5.33102386451116,0.0231412794484912,0.00406901984860991,0.114133415067506,0.0177748289901898,0.131908244057696
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Manufacturing",3.37246745664687,3.89735628939693,0.0765369279523895,0.0332945434725748,0.157182256763456,-0.0288246564177356,0.128357600345721
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Construction",7.24129076435847,2.71557884707003,0.0163137467368667,0.00164373992729642,0.0730336725008295,0.0406352057002755,0.113668878201105
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Unclassified industries",100,100,0.0113796866414529,0.0103056776766179,0.107400896483509,0,0.107400896483509
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Transportation and warehousing",3.4771465185818,3.70438039556022,0.0490334003821854,0.0171445441773704,0.114505339548042,-0.00751893545636546,0.106986404091677
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Forestry, fishing, mining, quarrying, oil and gas",4.88228483211115,6.73240394423665,0.0180899245892414,0.00460623070622084,0.0783044540034143,-0.0209952953419515,0.0573091586614628
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Professional, scientific and technical services",3.27984898537046,3.04528301886792,0.0739725013597116,0.0622569434111793,0.0370512252638856,0.0159773956893937,0.0530286209532793
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Manufacturing",3.30305336250357,3.55068558768936,0.0293599964811571,0.0130786567535862,0.0557940261260879,-0.00525458906720387,0.050539437058884
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Business, building and other support services",12.5328083989501,6.69503546099291,0.00532015535970743,0.0027604493776655,0.0246088134750322,0.0235863678290823,0.0481951813041146
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Transportation and warehousing",3.42423472166745,3.71583143507973,0.0192272648885804,0.00550053799396382,0.0490048690715818,-0.00360527302522822,0.0453995960463535
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Manufacturing",7.00594844679445,3.64324109098149,0.00845080846114157,0.00393354247489753,0.0240526108400306,0.0208224739947939,0.0448750848348245
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Unclassified industries",100,100,0.00432384805021891,0.00392179588180108,0.0402052168417833,0,0.0402052168417833
"Latest 12 months (Jul 2025 - Jun 2026)","55 years and over","Forestry, fishing, mining, quarrying, oil and gas",7.90044856026624,1.64917541229385,0.0048251435289945,0.00104466367937752,0.0180510804998413,0.0183468840927354,0.0363979645925767
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Business, building and other support services",6.19082301529497,5.71528445337761,0.0220479246855907,0.0179221686403553,0.0245608474320488,0.00950366034996158,0.0340645077820104
"Latest 12 months (Jul 2025 - Jun 2026)","25 to 54 years","Wholesale and retail trade",3.55406538139145,3.49614226364496,0.0791285836866722,0.0712517012982335,0.0277668282170116,0.00435524747696594,0.0321220756939776
"Latest 12 months (Jul 2025 - Jun 2026)","15 to 24 years","Transportation and warehousing",6.13924050632911,2.68606603245663,0.00551564663276755,0.00139941079089028,0.0181635215452518,0.0119394498903688,0.0301029714356207
