"date","gender","ur","time","time2","D","covid"
2017-01-01,"Women",6.2,0,0,0,0
2017-02-01,"Women",6.1,1,1,0,0
2017-03-01,"Women",6,2,4,0,0
2017-04-01,"Women",5.9,3,9,0,0
2017-05-01,"Women",6,4,16,0,0
2017-06-01,"Women",6,5,25,0,0
2017-07-01,"Women",5.9,6,36,0,0
2017-08-01,"Women",5.9,7,49,0,0
2017-09-01,"Women",5.7,8,64,0,0
2017-10-01,"Women",6,9,81,0,0
2017-11-01,"Women",5.8,10,100,0,0
2017-12-01,"Women",5.7,11,121,0,0
2018-01-01,"Women",5.6,12,144,0,0
2018-02-01,"Women",5.7,13,169,0,0
2018-03-01,"Women",5.5,14,196,0,0
2018-04-01,"Women",5.4,15,225,0,0
2018-05-01,"Women",5.6,16,256,0,0
2018-06-01,"Women",5.7,17,289,0,0
2018-07-01,"Women",5.5,18,324,0,0
2018-08-01,"Women",5.7,19,361,0,0
2018-09-01,"Women",5.6,20,400,0,0
2018-10-01,"Women",5.3,21,441,0,0
2018-11-01,"Women",5.4,22,484,0,0
2018-12-01,"Women",5.3,23,529,0,0
2019-01-01,"Women",5.3,24,576,0,0
2019-02-01,"Women",5.2,25,625,0,0
2019-03-01,"Women",5.5,26,676,0,0
2019-04-01,"Women",5.3,27,729,0,0
2019-05-01,"Women",4.9,28,784,0,0
2019-06-01,"Women",5,29,841,0,0
2019-07-01,"Women",5.3,30,900,0,0
2019-08-01,"Women",5.2,31,961,0,0
2019-09-01,"Women",5.4,32,1024,0,0
2019-10-01,"Women",5.4,33,1089,0,0
2019-11-01,"Women",5.5,34,1156,0,0
2019-12-01,"Women",5.2,35,1225,0,0
2020-01-01,"Women",5.3,36,1296,0,0
2020-02-01,"Women",5.4,37,1369,0,0
2020-03-01,"Women",9.3,38,1444,0,1
2020-04-01,"Women",14.1,39,1521,0,1
2020-05-01,"Women",14.4,40,1600,0,1
2020-06-01,"Women",12.8,41,1681,0,1
2020-07-01,"Women",10.2,42,1764,0,1
2020-08-01,"Women",9.3,43,1849,0,1
2020-09-01,"Women",8.6,44,1936,0,1
2020-10-01,"Women",8.5,45,2025,0,1
2020-11-01,"Women",8.2,46,2116,0,1
2020-12-01,"Women",8.8,47,2209,0,1
2021-01-01,"Women",9.5,48,2304,0,1
2021-02-01,"Women",8.7,49,2401,0,1
2021-03-01,"Women",7.6,50,2500,0,1
2021-04-01,"Women",8.3,51,2601,0,1
2021-05-01,"Women",8.4,52,2704,0,1
2021-06-01,"Women",7.5,53,2809,0,1
2021-07-01,"Women",6.9,54,2916,0,1
2021-08-01,"Women",6.7,55,3025,0,1
2021-09-01,"Women",6.7,56,3136,0,1
2021-10-01,"Women",6.2,57,3249,0,1
2021-11-01,"Women",5.6,58,3364,0,1
2021-12-01,"Women",5.8,59,3481,0,1
2022-01-01,"Women",6.5,60,3600,0,0
2022-02-01,"Women",5.1,61,3721,0,0
2022-03-01,"Women",5.5,62,3844,0,0
2022-04-01,"Women",5.1,63,3969,0,0
2022-05-01,"Women",4.9,64,4096,0,0
2022-06-01,"Women",4.8,65,4225,0,0
2022-07-01,"Women",4.6,66,4356,0,0
2022-08-01,"Women",5.1,67,4489,0,0
2022-09-01,"Women",5,68,4624,0,0
2022-10-01,"Women",5.2,69,4761,0,0
2022-11-01,"Women",4.8,70,4900,0,0
2022-12-01,"Women",4.8,71,5041,0,0
2023-01-01,"Women",4.9,72,5184,0,0
2023-02-01,"Women",5,73,5329,0,0
2023-03-01,"Women",4.9,74,5476,0,0
2023-04-01,"Women",4.8,75,5625,0,0
2023-05-01,"Women",5.1,76,5776,0,0
2023-06-01,"Women",5.3,77,5929,0,0
2023-07-01,"Women",5.5,78,6084,0,0
2023-08-01,"Women",5.4,79,6241,0,0
2023-09-01,"Women",5.3,80,6400,0,0
2023-10-01,"Women",5.4,81,6561,0,0
2023-11-01,"Women",5.5,82,6724,0,0
2023-12-01,"Women",5.6,83,6889,0,0
2024-01-01,"Women",5.6,84,7056,0,0
2024-02-01,"Women",5.7,85,7225,0,0
2024-03-01,"Women",5.7,86,7396,0,0
2024-04-01,"Women",6,87,7569,0,0
2024-05-01,"Women",6,88,7744,0,0
2024-06-01,"Women",6.1,89,7921,0,0
2024-07-01,"Women",6.1,90,8100,0,0
2024-08-01,"Women",6.1,91,8281,0,0
2024-09-01,"Women",5.9,92,8464,0,0
2024-10-01,"Women",6.1,93,8649,0,0
2024-11-01,"Women",6.6,94,8836,0,0
2024-12-01,"Women",6.4,95,9025,0,0
2025-01-01,"Women",6.4,96,9216,0,0
2025-02-01,"Women",6.2,97,9409,0,0
2025-03-01,"Women",6.4,98,9604,0,0
2025-04-01,"Women",6.6,99,9801,0,0
2025-05-01,"Women",6.6,100,10000,0,0
2025-06-01,"Women",6.5,101,10201,0,0
2025-07-01,"Women",6.3,102,10404,0,0
2025-08-01,"Women",6.5,103,10609,0,0
2025-09-01,"Women",6.8,104,10816,0,0
2025-10-01,"Women",6.6,105,11025,0,0
2025-11-01,"Women",6.4,106,11236,0,0
2025-12-01,"Women",6.6,107,11449,0,0
2026-01-01,"Women",6.3,108,11664,0,0
2026-02-01,"Women",6.6,109,11881,0,0
2026-03-01,"Women",6.5,110,12100,0,0
2026-04-01,"Women",6.8,111,12321,0,0
2026-05-01,"Women",6.3,112,12544,0,0
2026-06-01,"Women",6.2,113,12769,0,0
2017-01-01,"Men",7.4,0,0,1,0
2017-02-01,"Men",7.2,1,1,1,0
2017-03-01,"Men",7.3,2,4,1,0
2017-04-01,"Men",7,3,9,1,0
2017-05-01,"Men",7.2,4,16,1,0
2017-06-01,"Men",6.9,5,25,1,0
2017-07-01,"Men",6.6,6,36,1,0
2017-08-01,"Men",6.5,7,49,1,0
2017-09-01,"Men",6.7,8,64,1,0
2017-10-01,"Men",6.6,9,81,1,0
2017-11-01,"Men",6.4,10,100,1,0
